year,state,county_name,county_fips,party,candidatevotes,totalvotes
2004,ILLINOIS,WHITE,17193,DEMOCRAT,3071,8301
2008,LOUISIANA,BEAUREGARD,22011,DEMOCRAT,3071,14074
2016,ARKANSAS,GREENE,5055,DEMOCRAT,3071,14600
2016,ILLINOIS,MERCER,17131,DEMOCRAT,3071,8525
2016,MISSISSIPPI,HUMPHREYS,28053,DEMOCRAT,3071,4253
2004,MISSOURI,ANDREW,29003,DEMOCRAT,3069,8266
2008,GEORGIA,EMANUEL,13107,DEMOCRAT,3068,8242
2008,PENNSYLVANIA,JUNIATA,42067,DEMOCRAT,3068,9711
2000,NORTH DAKOTA,STUTSMAN,38093,DEMOCRAT,3067,9118
2008,ALABAMA,WASHINGTON,1129,DEMOCRAT,3067,8775
2020,LOUISIANA,BIENVILLE,22013,DEMOCRAT,3067,7050
2020,OHIO,VAN WERT,39161,DEMOCRAT,3067,14965
2012,IOWA,CRAWFORD,19047,DEMOCRAT,3066,6752
2008,GEORGIA,BUTTS,13035,DEMOCRAT,3065,9091
2016,CALIFORNIA,GLENN,6021,DEMOCRAT,3065,9470
2000,ALABAMA,FAYETTE,1057,DEMOCRAT,3064,7808
2008,ALABAMA,RANDOLPH,1111,DEMOCRAT,3064,10384
2020,MARYLAND,CALVERT,24009,DEMOCRAT,3064,49113
2000,SOUTH CAROLINA,CALHOUN,45017,DEMOCRAT,3063,6373
2004,IOWA,APPANOOSE,19007,DEMOCRAT,3063,6450
2012,INDIANA,JAY,18075,DEMOCRAT,3063,7901
2016,TENNESSEE,HENRY,47079,DEMOCRAT,3063,12945
2016,UTAH,WASATCH,49051,DEMOCRAT,3063,12120
2000,ARKANSAS,YELL,5149,DEMOCRAT,3062,6479
2000,WASHINGTON,KLICKITAT,53039,DEMOCRAT,3062,8180
2016,INDIANA,PERRY,18123,DEMOCRAT,3062,8055
2020,ARKANSAS,GARLAND,5051,DEMOCRAT,3062,44199
2020,OHIO,HARDIN,39065,DEMOCRAT,3062,13247
2016,OKLAHOMA,SEQUOYAH,40135,DEMOCRAT,3061,14437
2000,ARKANSAS,DREW,5043,DEMOCRAT,3060,5922
2000,ILLINOIS,BOND,17005,DEMOCRAT,3060,7032
2012,INDIANA,BROWN,18013,DEMOCRAT,3060,7604
2000,COLORADO,GUNNISON,8051,DEMOCRAT,3059,7236
2000,LOUISIANA,ST. HELENA,22091,DEMOCRAT,3059,5254
2000,TENNESSEE,MACON,47111,DEMOCRAT,3059,6491
2012,KANSAS,ELLIS,20051,DEMOCRAT,3057,11714
2012,TEXAS,WOOD,48499,DEMOCRAT,3056,17581
2016,IOWA,DICKINSON,19059,DEMOCRAT,3056,10354
2016,TENNESSEE,LAUDERDALE,47097,DEMOCRAT,3056,8087
2004,MISSOURI,MORGAN,29141,DEMOCRAT,3053,8771
2012,CALIFORNIA,LASSEN,6035,DEMOCRAT,3053,10683
2012,PENNSYLVANIA,MONTOUR,42093,DEMOCRAT,3053,7831
2020,OKLAHOMA,PAYNE,40119,DEMOCRAT,3053,29643
2008,TEXAS,COOKE,48097,DEMOCRAT,3051,15032
2016,VIRGINIA,CLARKE,51043,DEMOCRAT,3051,8213
2004,NEVADA,ELKO,32007,DEMOCRAT,3050,15309
2004,FLORIDA,TAYLOR,12123,DEMOCRAT,3049,8581
2000,KENTUCKY,BOURBON,21017,DEMOCRAT,3048,7102
2000,VIRGINIA,MARTINSVILLE,51690,DEMOCRAT,3048,5694
2020,NEVADA,CHURCHILL,32001,DEMOCRAT,3048,12881
2020,VIRGINIA,PRINCE EDWARD,51147,DEMOCRAT,3048,9575
2004,VIRGINIA,GILES,51071,DEMOCRAT,3047,7498
2020,TEXAS,HOPKINS,48223,DEMOCRAT,3046,15941
2008,TEXAS,MILAM,48331,DEMOCRAT,3044,8357
2008,ARKANSAS,CHICOT,5017,DEMOCRAT,3043,5208
2012,IOWA,UNION,19175,DEMOCRAT,3043,5957
2012,TEXAS,KENDALL,48259,DEMOCRAT,3043,17783
2016,ALASKA,DISTRICT 14,2014,DEMOCRAT,3043,10420
2012,SOUTH DAKOTA,DAVISON,46035,DEMOCRAT,3042,7971
2012,TEXAS,ZAVALA,48507,DEMOCRAT,3042,3653
2000,FLORIDA,JEFFERSON,12065,DEMOCRAT,3041,5644
2000,MISSISSIPPI,TALLAHATCHIE,28135,DEMOCRAT,3041,5523
2004,ALABAMA,CHEROKEE,1019,DEMOCRAT,3040,9049
2004,COLORADO,MORGAN,8087,DEMOCRAT,3039,9936
2008,SOUTH DAKOTA,HUGHES,46065,DEMOCRAT,3037,8386
2004,VIRGINIA,MARTINSVILLE,51690,DEMOCRAT,3036,5603
2016,MISSOURI,BUTLER,29023,DEMOCRAT,3036,17259
2020,INDIANA,BROWN,18013,DEMOCRAT,3036,8981
2004,WEST VIRGINIA,BRAXTON,54007,DEMOCRAT,3035,6051
2012,OHIO,MONROE,39111,DEMOCRAT,3035,6782
2020,NORTH CAROLINA,STOKES,37169,DEMOCRAT,3035,25701
2004,WEST VIRGINIA,UPSHUR,54097,DEMOCRAT,3034,9293
2008,ARKANSAS,JOHNSON,5071,DEMOCRAT,3034,8180
2008,SOUTH DAKOTA,LAKE,46079,DEMOCRAT,3033,6076
2004,ALASKA,DISTRICT 34,2034,DEMOCRAT,3033,11353
2020,KENTUCKY,MERCER,21167,DEMOCRAT,3033,11735
2020,INDIANA,WHITE,18181,DEMOCRAT,3032,11166
2020,NORTH CAROLINA,BURKE,37023,DEMOCRAT,3032,44602
2020,NORTH CAROLINA,WILSON,37195,DEMOCRAT,3032,40735
2020,WISCONSIN,PRICE,55099,DEMOCRAT,3032,8546
2012,MISSOURI,RANDOLPH,29175,DEMOCRAT,3031,9944
2008,IOWA,SIOUX,19167,DEMOCRAT,3030,16664
2012,MISSISSIPPI,YALOBUSHA,28161,DEMOCRAT,3030,6354
2016,MICHIGAN,OGEMAW,26129,DEMOCRAT,3030,10387
2020,NORTH CAROLINA,WAYNE,37191,DEMOCRAT,3030,55537
2008,MISSOURI,PEMISCOT,29155,DEMOCRAT,3029,7047
2008,SOUTH CAROLINA,ALLENDALE,45005,DEMOCRAT,3029,4024
2008,WEST VIRGINIA,LINCOLN,54043,DEMOCRAT,3029,6835
2008,OKLAHOMA,GARVIN,40049,DEMOCRAT,3028,10738
2004,NEBRASKA,DAKOTA,31043,DEMOCRAT,3027,6615
2008,KANSAS,BARTON,20009,DEMOCRAT,3027,11057
2008,MICHIGAN,MACKINAC,26097,DEMOCRAT,3027,6396
2008,GEORGIA,MURRAY,13213,DEMOCRAT,3026,11382
2016,KENTUCKY,MEADE,21163,DEMOCRAT,3026,12231
2008,LOUISIANA,CLAIBORNE,22027,DEMOCRAT,3025,6841
2008,MONTANA,LINCOLN,30053,DEMOCRAT,3025,9227
2000,VIRGINIA,HOPEWELL,51670,DEMOCRAT,3024,6978
2004,OREGON,CROOK,41013,DEMOCRAT,3024,10051
2008,GEORGIA,SCREVEN,13251,DEMOCRAT,3024,6481
2008,ILLINOIS,PIKE,17149,DEMOCRAT,3024,7616
2012,MINNESOTA,PENNINGTON,27113,DEMOCRAT,3024,6517
2020,IOWA,DICKINSON,19059,DEMOCRAT,3024,11244
